Fondsposition per,"03.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"MU","MICRON TECHNOLOGY INC","IT","Aktien","72.093.270,76","0,15","72.093.270,76","879.508,00","81,97","Vereinigte Staaten","NASDAQ","USD"
"BNS","BANK OF NOVA SCOTIA","Financials","Aktien","71.661.922,85","0,15","71.661.922,85","978.829,00","73,21","Kanada","Toronto Stock Exchange","CAD"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","70.895.640,77","0,15","70.895.640,77","416.067,00","170,39","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Aktien","70.804.523,90","0,15","70.804.523,90","340.390,00","208,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","IT","Aktien","70.566.028,78","0,15","70.566.028,78","435.539,00","162,02","Vereinigte Staaten","NASDAQ","USD"
"CSL","CSL LTD","Gesundheitsversorgung","Aktien","69.725.736,89","0,15","69.725.736,89","378.798,00","184,07","Australien","Asx - All Markets","AUD"
"CME","CME GROUP INC CLASS A","Financials","Aktien","68.862.850,85","0,15","68.862.850,85","285.655,00","241,07","Vereinigte Staaten","NASDAQ","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrie","Aktien","68.704.863,69","0,15","68.704.863,69","561.551,00","122,35","Kanada","Toronto Stock Exchange","CAD"
"ADP","AUTOMATIC DATA PROCESSING INC","IT","Aktien","68.604.497,72","0,15","68.604.497,72","334.444,00","205,13","Vereinigte Staaten","NASDAQ","USD"
"ENB","ENBRIDGE INC","Energie","Aktien","67.582.965,46","0,14","67.582.965,46","1.572.513,00","42,98","Kanada","Toronto Stock Exchange","CAD"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","67.542.083,57","0,14","67.542.083,57","1.066.847,00","63,31","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO PLC","Materialien","Aktien","67.308.209,40","0,14","67.308.209,40","920.196,00","73,15","Vereinigtes Königreich","London Stock Exchange","GBP"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","67.194.917,40","0,14","67.194.917,40","962.540,00","69,81","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"USB","US BANCORP","Financials","Aktien","67.109.224,00","0,14","67.109.224,00","1.134.560,00","59,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LRCX","LAM RESEARCH CORP","IT","Aktien","66.982.636,44","0,14","66.982.636,44","113.769,00","588,76","Vereinigte Staaten","NASDAQ","USD"
"SYK","STRYKER CORP","Gesundheitsversorgung","Aktien","65.993.010,72","0,14","65.993.010,72","263.172,00","250,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","65.844.395,11","0,14","65.844.395,11","1.006.949,00","65,39","Vereinigte Staaten","NASDAQ","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","64.585.045,71","0,14","64.585.045,71","374.614,00","172,40","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DUK","DUKE ENERGY CORP","Versorger","Aktien","64.428.167,57","0,14","64.428.167,57","611.099,00","105,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BNP","BNP PARIBAS SA","Financials","Aktien","64.076.294,38","0,14","64.076.294,38","881.853,00","72,66","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CSX","CSX CORP","Industrie","Aktien","63.236.692,42","0,14","63.236.692,42","1.827.122,00","34,61","Vereinigte Staaten","NASDAQ","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Immobilien","Aktien","63.157.236,72","0,13","63.157.236,72","347.629,00","181,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Aktien","62.824.330,00","0,13","62.824.330,00","10.035.036,00","6,26","Japan","Tokyo Stock Exchange","JPY"
"F","FORD MOTOR CO","Zyklische Konsumgüter ","Aktien","62.341.266,78","0,13","62.341.266,78","3.134.302,00","19,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Kommunikation","Aktien","62.242.092,45","0,13","62.242.092,45","101.961,00","610,45","Vereinigte Staaten","NASDAQ","USD"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Zyklische Konsumgüter ","Aktien","61.652.681,45","0,13","61.652.681,45","421.343,00","146,32","Schweiz","SIX Swiss Exchange","CHF"
"BDX","BECTON DICKINSON","Gesundheitsversorgung","Aktien","61.585.090,32","0,13","61.585.090,32","227.604,00","270,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ITW","ILLINOIS TOOL INC","Industrie","Aktien","61.511.560,55","0,13","61.511.560,55","254.759,00","241,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financials","Aktien","61.412.062,41","0,13","61.412.062,41","403.947,00","152,03","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CI","CIGNA CORP","Gesundheitsversorgung","Aktien","60.886.559,16","0,13","60.886.559,16","279.861,00","217,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Financials","Aktien","60.843.934,86","0,13","60.843.934,86","1.117.396,00","54,45","Kanada","Toronto Stock Exchange","CAD"
"BMO","BANK OF MONTREAL","Financials","Aktien","59.988.760,18","0,13","59.988.760,18","514.659,00","116,56","Kanada","Toronto Stock Exchange","CAD"
"PRX","PROSUS NV","Zyklische Konsumgüter ","Aktien","59.718.739,37","0,13","59.718.739,37","739.810,00","80,72","Niederlande","Euronext Amsterdam","EUR"
