Fondsposition per,"24.Feb.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"SLHN","SWISS LIFE HOLDING AG","Financials","Aktien","11.014.456,65","0,17","11.014.456,65","20.670,00","532,87","Schweiz","SIX Swiss Exchange","CHF"
"BT.A","BT GROUP PLC","Kommunikation","Aktien","10.968.362,66","0,17","10.968.362,66","4.889.146,00","2,24","Vereinigtes Königreich","London Stock Exchange","GBP"
"DNB","DNB BANK","Financials","Aktien","10.942.448,46","0,17","10.942.448,46","574.586,00","19,04","Norwegen","Oslo Bors Asa","NOK"
"SGRO","SEGRO REIT PLC","Immobilien","Aktien","10.853.086,58","0,17","10.853.086,58","738.944,00","14,69","Vereinigtes Königreich","London Stock Exchange","GBP"
"CSGN","CREDIT SUISSE GROUP AG","Financials","Aktien","10.667.335,90","0,17","10.667.335,90","1.461.261,00","7,30","Schweiz","SIX Swiss Exchange","CHF"
"KBC","KBC GROEP","Financials","Aktien","10.617.657,48","0,17","10.617.657,48","161.559,00","65,72","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"ACA","CREDIT AGRICOLE SA","Financials","Aktien","10.601.855,62","0,17","10.601.855,62","893.917,00","11,86","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"UPM","UPM-KYMMENE","Materialien","Aktien","10.540.159,50","0,17","10.540.159,50","345.579,00","30,50","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Financials","Aktien","10.509.796,26","0,17","10.509.796,26","1.047.459,00","10,03","Schweden","Nasdaq Omx Nordic","SEK"
"MAERSK B","A P MOLLER MAERSK B","Industrie","Aktien","10.331.984,61","0,16","10.331.984,61","3.679,00","2.808,37","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"AKZA","AKZO NOBEL NV","Materialien","Aktien","10.293.735,42","0,16","10.293.735,42","122.457,00","84,06","Niederlande","Euronext Amsterdam","EUR"
"MT","ARCELORMITTAL SA","Materialien","Aktien","10.236.103,51","0,16","10.236.103,51","410.841,00","24,91","Frankreich","Euronext Amsterdam","EUR"
"KYGA","KERRY GROUP PLC","Nichtzyklische Konsumgüter","Aktien","10.105.839,70","0,16","10.105.839,70","99.418,00","101,65","Irland","Irish Stock Exchange - All Market","EUR"
"STMN","STRAUMANN HOLDING AG","Gesundheitsversorgung","Aktien","10.085.368,11","0,16","10.085.368,11","7.438,00","1.355,92","Schweiz","SIX Swiss Exchange","CHF"
"STAN","STANDARD CHARTERED PLC","Financials","Aktien","9.881.128,36","0,16","9.881.128,36","1.606.774,00","6,15","Vereinigtes Königreich","London Stock Exchange","GBP"
"SHL","SIEMENS HEALTHINEERS AG","Gesundheitsversorgung","Aktien","9.703.509,20","0,15","9.703.509,20","180.028,00","53,90","Deutschland","Xetra","EUR"
"COLO B","COLOPLAST B","Gesundheitsversorgung","Aktien","9.599.039,78","0,15","9.599.039,78","76.061,00","126,20","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"UMG","UNIVERSAL MUSIC GROUP NV","Kommunikation","Aktien","9.584.232,93","0,15","9.584.232,93","489.641,00","19,57","Niederlande","Euronext Amsterdam","EUR"
"SGSN","SGS SA","Industrie","Aktien","9.546.574,60","0,15","9.546.574,60","3.918,00","2.436,59","Schweiz","SIX Swiss Exchange","CHF"
"NWG","NATWEST GROUP PLC","Financials","Aktien","9.501.658,35","0,15","9.501.658,35","3.521.032,00","2,70","Vereinigtes Königreich","London Stock Exchange","GBP"
"III","3I GROUP PLC","Financials","Aktien","9.390.621,64","0,15","9.390.621,64","631.157,00","14,88","Vereinigtes Königreich","London Stock Exchange","GBP"
