Fondsposition per,"01.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"USB","US BANCORP","Financials","Aktien","112.242.247,18","0,20","112.242.247,18","2.083.963,00","53,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Immobilien","Aktien","112.189.517,55","0,20","112.189.517,55","667.755,00","168,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TMUS","T MOBILE US INC","Kommunikation","Aktien","111.545.437,08","0,20","111.545.437,08","905.916,00","123,13","Vereinigte Staaten","NASDAQ","USD"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Aktien","111.048.092,75","0,20","111.048.092,75","869.261,00","127,75","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FCX","FREEPORT MCMORAN INC","Materialien","Aktien","108.652.693,50","0,19","108.652.693,50","2.267.850,00","47,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Gesundheitsversorgung","Aktien","107.679.430,63","0,19","107.679.430,63","964.783,00","111,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOC","NORTHROP GRUMMAN CORP","Industrie","Aktien","105.234.584,70","0,19","105.234.584,70","230.727,00","456,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EOG","EOG RESOURCES INC","Energie","Aktien","105.090.873,65","0,19","105.090.873,65","902.765,00","116,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SO","SOUTHERN","Versorger","Aktien","104.998.043,50","0,19","104.998.043,50","1.638.035,00","64,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EL","ESTEE LAUDER INC CLASS A","Nichtzyklische Konsumgüter","Aktien","102.207.805,97","0,18","102.207.805,97","357.883,00","285,59","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"F","FORD MOTOR CO","Zyklische Konsumgüter ","Aktien","101.287.637,60","0,18","101.287.637,60","6.065.128,00","16,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GM","GENERAL MOTORS","Zyklische Konsumgüter ","Aktien","99.852.661,44","0,18","99.852.661,44","2.242.872,00","44,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"D","DOMINION ENERGY INC","Versorger","Aktien","99.276.788,88","0,18","99.276.788,88","1.252.072,00","79,29","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","99.043.621,83","0,18","99.043.621,83","163.161,00","607,03","Vereinigte Staaten","NASDAQ","USD"
"CL","COLGATE-PALMOLIVE","Nichtzyklische Konsumgüter","Aktien","98.983.549,20","0,18","98.983.549,20","1.301.730,00","76,04","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EQIX","EQUINIX REIT INC","Immobilien","Aktien","98.900.712,00","0,18","98.900.712,00","139.140,00","710,80","Vereinigte Staaten","NASDAQ","USD"
"AON","AON PLC CLASS A","Financials","Aktien","98.521.543,28","0,17","98.521.543,28","339.917,00","289,84","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ATVI","ACTIVISION BLIZZARD INC","Kommunikation","Aktien","97.198.672,32","0,17","97.198.672,32","1.201.764,00","80,88","Vereinigte Staaten","NASDAQ","USD"
"NSC","NORFOLK SOUTHERN CORP","Industrie","Aktien","95.762.205,45","0,17","95.762.205,45","375.435,00","255,07","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BSX","BOSTON SCIENTIFIC CORP","Gesundheitsversorgung","Aktien","95.335.718,72","0,17","95.335.718,72","2.198.702,00","43,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materialien","Aktien","95.254.940,22","0,17","95.254.940,22","372.774,00","255,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Aktien","93.283.431,16","0,17","93.283.431,16","903.559,00","103,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HCA","HCA HEALTHCARE INC","Gesundheitsversorgung","Aktien","93.273.228,72","0,17","93.273.228,72","369.516,00","252,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
