Fondsposition per,"05.Apr.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"SCHW","CHARLES SCHWAB CORP","Financials","Aktien","95.872.058,06","0,20","95.872.058,06","1.171.171,00","81,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CAT","CATERPILLAR INC","Industrie","Aktien","95.610.668,02","0,20","95.610.668,02","442.601,00","216,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financials","Aktien","94.514.630,08","0,20","94.514.630,08","1.108.286,00","85,28","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Aktien","93.620.506,53","0,20","93.620.506,53","122.471,00","764,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","IT","Aktien","91.666.954,67","0,19","91.666.954,67","711.203,00","128,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LMT","LOCKHEED MARTIN CORP","Industrie","Aktien","91.190.447,04","0,19","91.190.447,04","203.896,00","447,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GSK","GLAXOSMITHKLINE PLC","Gesundheitsversorgung","Aktien","90.887.275,92","0,19","90.887.275,92","4.062.592,00","22,37","Vereinigtes Königreich","London Stock Exchange","GBP"
"GS","GOLDMAN SACHS GROUP INC","Financials","Aktien","90.150.292,96","0,19","90.150.292,96","278.276,00","323,96","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AMAT","APPLIED MATERIAL INC","IT","Aktien","89.007.496,68","0,19","89.007.496,68","731.308,00","121,71","Vereinigte Staaten","NASDAQ","USD"
"NOW","SERVICENOW INC","IT","Aktien","88.600.395,88","0,18","88.600.395,88","160.154,00","553,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Gesundheitsversorgung","Aktien","87.260.001,84","0,18","87.260.001,84","294.877,00","295,92","Vereinigte Staaten","NASDAQ","USD"
"TGT","TARGET CORP","Zyklische Konsumgüter ","Aktien","84.450.058,25","0,18","84.450.058,25","393.175,00","214,79","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"OR","LOREAL SA","Nichtzyklische Konsumgüter","Aktien","84.048.058,38","0,18","84.048.058,38","205.172,00","409,65","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"C","CITIGROUP INC","Financials","Aktien","83.457.162,12","0,17","83.457.162,12","1.618.014,00","51,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BA","BOEING","Industrie","Aktien","82.084.919,15","0,17","82.084.919,15","449.411,00","182,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BP.","BP PLC","Energie","Aktien","82.015.063,31","0,17","82.015.063,31","16.312.743,00","5,03","Vereinigtes Königreich","London Stock Exchange","GBP"
"SIE","SIEMENS N AG","Industrie","Aktien","81.621.573,11","0,17","81.621.573,11","611.628,00","133,45","Deutschland","Xetra","EUR"
"ADP","AUTOMATIC DATA PROCESSING INC","IT","Aktien","81.356.968,00","0,17","81.356.968,00","341.836,00","238,00","Vereinigte Staaten","NASDAQ","USD"
"ICSUAGD","BLK ICS USD LIQ AGENCY DIS","Cash und/oder Derivate","Money Market","81.079.725,77","0,17","81.079.725,77","81.079.726,00","1,00","Irland","-","USD"
"SBUX","STARBUCKS CORP","Zyklische Konsumgüter ","Aktien","80.121.355,80","0,17","80.121.355,80","952.465,00","84,12","Vereinigte Staaten","NASDAQ","USD"
"GE","GENERAL ELECTRIC","Industrie","Aktien","79.969.876,80","0,17","79.969.876,80","887.568,00","90,10","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CSL","CSL LTD","Gesundheitsversorgung","Aktien","79.250.620,09","0,17","79.250.620,09","387.078,00","204,74","Australien","Asx - All Markets","AUD"
"MO","ALTRIA GROUP INC","Nichtzyklische Konsumgüter","Aktien","78.272.942,72","0,16","78.272.942,72","1.486.948,00","52,64","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ALV","ALLIANZ","Financials","Aktien","77.899.117,23","0,16","77.899.117,23","329.549,00","236,38","Deutschland","Xetra","EUR"
"CB","CHUBB LTD","Financials","Aktien","75.767.414,52","0,16","75.767.414,52","356.754,00","212,38","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RIO","RIO TINTO PLC","Materialien","Aktien","75.565.748,08","0,16","75.565.748,08","940.356,00","80,36","Vereinigtes Königreich","London Stock Exchange","GBP"
"ENB","ENBRIDGE INC","Energie","Aktien","75.090.469,94","0,16","75.090.469,94","1.607.042,00","46,73","Kanada","Toronto Stock Exchange","CAD"
"BKNG","BOOKING HOLDINGS INC","Zyklische Konsumgüter ","Aktien","74.508.054,00","0,16","74.508.054,00","32.423,00","2.298,00","Vereinigte Staaten","NASDAQ","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrie","Aktien","74.290.564,47","0,15","74.290.564,47","573.881,00","129,45","Kanada","Toronto Stock Exchange","CAD"
"BATS","BRITISH AMERICAN TOBACCO PLC","Nichtzyklische Konsumgüter","Aktien","74.205.523,06","0,15","74.205.523,06","1.750.468,00","42,39","Vereinigtes Königreich","London Stock Exchange","GBP"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Nichtzyklische Konsumgüter","Aktien","73.073.894,19","0,15","73.073.894,19","1.159.719,00","63,01","Vereinigte Staaten","NASDAQ","USD"
"SYK","STRYKER CORP","Gesundheitsversorgung","Aktien","72.230.259,00","0,15","72.230.259,00","269.014,00","268,50","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BNS","BANK OF NOVA SCOTIA","Financials","Aktien","71.750.998,72","0,15","71.750.998,72","1.000.308,00","71,73","Kanada","Toronto Stock Exchange","CAD"
"ZTS","ZOETIS INC CLASS A","Gesundheitsversorgung","Aktien","71.403.976,80","0,15","71.403.976,80","379.002,00","188,40","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","IT","Aktien","71.221.336,22","0,15","71.221.336,22","445.189,00","159,98","Vereinigte Staaten","NASDAQ","USD"
"SU","SCHNEIDER ELECTRIC","Industrie","Aktien","70.670.211,32","0,15","70.670.211,32","425.157,00","166,22","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"DUK","DUKE ENERGY CORP","Versorger","Aktien","70.292.369,20","0,15","70.292.369,20","624.710,00","112,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financials","Aktien","70.169.585,52","0,15","70.169.585,52","412.908,00","169,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"6861","KEYENCE CORP","IT","Aktien","70.166.503,75","0,15","70.166.503,75","147.204,00","476,66","Japan","Tokyo Stock Exchange","JPY"
"CI","CIGNA CORP","Gesundheitsversorgung","Aktien","70.117.307,92","0,15","70.117.307,92","286.088,00","245,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CME","CME GROUP INC CLASS A","Financials","Aktien","69.330.483,82","0,14","69.330.483,82","291.967,00","237,46","Vereinigte Staaten","NASDAQ","USD"
"BX","BLACKSTONE INC","Financials","Aktien","69.298.238,20","0,14","69.298.238,20","560.620,00","123,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Immobilien","Aktien","68.627.045,58","0,14","68.627.045,58","355.378,00","193,11","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MMM","3M","Industrie","Aktien","68.271.394,50","0,14","68.271.394,50","458.505,00","148,90","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialien","Aktien","67.725.415,33","0,14","67.725.415,33","382.804,00","176,92","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"MU","MICRON TECHNOLOGY INC","IT","Aktien","67.079.015,82","0,14","67.079.015,82","899.062,00","74,61","Vereinigte Staaten","NASDAQ","USD"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Financials","Aktien","66.734.136,07","0,14","66.734.136,07","1.141.935,00","58,44","Kanada","Toronto Stock Exchange","CAD"
"TMUS","T MOBILE US INC","Kommunikation","Aktien","66.638.084,52","0,14","66.638.084,52","504.987,00","131,96","Vereinigte Staaten","NASDAQ","USD"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Aktien","66.191.933,33","0,14","66.191.933,33","2.697.787,00","24,54","Australien","Asx - All Markets","AUD"
"CSX","CSX CORP","Industrie","Aktien","65.879.069,50","0,14","65.879.069,50","1.867.850,00","35,27","Vereinigte Staaten","NASDAQ","USD"
"SO","SOUTHERN","Versorger","Aktien","65.437.145,05","0,14","65.437.145,05","880.123,00","74,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aktien","64.984.250,60","0,14","64.984.250,60","92.013,00","706,25","Kanada","Toronto Stock Exchange","CAD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Aktien","63.465.701,13","0,13","63.465.701,13","347.967,00","182,39","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Aktien","62.707.791,92","0,13","62.707.791,92","10.269.036,00","6,11","Japan","Tokyo Stock Exchange","JPY"
"BMO","BANK OF MONTREAL","Financials","Aktien","62.474.023,27","0,13","62.474.023,27","525.909,00","118,79","Kanada","Toronto Stock Exchange","CAD"
"GILD","GILEAD SCIENCES INC","Gesundheitsversorgung","Aktien","61.508.442,50","0,13","61.508.442,50","1.029.430,00","59,75","Vereinigte Staaten","NASDAQ","USD"
"USB","US BANCORP","Financials","Aktien","61.471.997,00","0,13","61.471.997,00","1.159.849,00","53,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BDX","BECTON DICKINSON","Gesundheitsversorgung","Aktien","61.023.904,02","0,13","61.023.904,02","232.083,00","262,94","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Zyklische Konsumgüter ","Aktien","60.723.503,94","0,13","60.723.503,94","984.014,00","61,71","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","60.377.166,08","0,13","60.377.166,08","1.090.628,00","55,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energie","Aktien","60.232.452,14","0,13","60.232.452,14","958.058,00","62,87","Kanada","Toronto Stock Exchange","CAD"
"AON","AON PLC CLASS A","Financials","Aktien","60.000.645,96","0,13","60.000.645,96","184.068,00","325,97","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SQ","BLOCK INC CLASS A","IT","Aktien","59.695.112,56","0,12","59.695.112,56","439.193,00","135,92","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EW","EDWARDS LIFESCIENCES CORP","Gesundheitsversorgung","Aktien","59.463.336,62","0,12","59.463.336,62","494.621,00","120,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
